,AptName,EntrezGeneID,EntrezGeneSymbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,plasma_membrane_associated,in_tissue_atlas,log.adj.P.Val,myeloid_plasma,myeloid_soluble,liver
20,ACADL.17857.6,33,ACADL,-0.0871090183646581,4.2793522712670695,-0.606680598454053,0.561652179232083,0.725272724452305,-6.868723230910731,False,True,0.13949865487327773,False,False,False
21,ACADM.17333.20,34,ACADM,-0.29971410014387107,2.7693882766441695,-2.16275513272029,0.0641037368908545,0.21072460891516498,-5.13514441520653,False,True,0.6762847434997268,False,False,False
22,ACADS.17393.13,35,ACADS,-0.490092091327856,6.2252775572398305,-2.63330845385788,0.0312393492423092,0.148048718564257,-4.10116171471802,False,True,0.8295953472944765,False,False,False
23,ACADSB.17403.14,36,ACADSB,-0.203831610333119,4.96164629438809,-1.25467338530357,0.24661723711489003,0.450186469302821,-6.200858724473861,False,True,0.346607562190738,False,False,False
24,ACADVL.19262.219,37,ACADVL,1.0449405168726,7.05047692781232,5.0161800468045,0.0011845538386857,0.0343832032519388,-0.635342152298644,False,True,1.4636536654663925,False,False,False
25,ACAN.3280.49,176,ACAN,-0.9550734545055309,6.453383705463481,-2.0631516880863003,0.074648543288506,0.22752334502312802,-4.92361126610453,False,True,0.6429740359538114,False,False,False
26,ACAP2.12343.14,23527,ACAP2,0.431278301119383,5.8772273680947995,2.35003454981933,0.0481240520828255,0.18275787043085,-4.58669008012504,False,True,0.7381239111630554,False,False,False
27,ACAT1.19197.95,38,ACAT1,0.491943922647923,7.302361046291259,1.00204785396982,0.34699600782403306,0.5488951975865209,-6.21682958661047,False,True,0.26051056894656455,False,False,False
28,ACAT2.17341.89,39,ACAT2,1.6330975408145703,6.344432262770081,4.22033330408226,0.00323218361745223,0.0553388908850249,-1.7722672543817901,False,True,1.2569695493392743,False,False,True
29,ACBD6.10075.75,84320,ACBD6,-0.387347798882595,2.7072265103655,-3.40645417019109,0.00993380414305884,0.08995492766023401,-3.2331403926428104,False,True,1.045975041356429,False,False,False
30,ACBD6.19341.36,84320,ACBD6,-0.531542253369464,11.4421836091173,-1.58650394157688,0.153058581578235,0.34696227596684703,-5.365176447036321,False,True,0.45971774201043375,False,False,False
31,ACBD7.13563.259,414149,ACBD7,0.172510124608892,5.585990403431491,1.11945437353501,0.296902130705325,0.498211572216044,-6.28644626084989,False,True,0.302586189101393,False,False,False
32,ACE.10714.7,1636,ACE,-0.149056570559611,5.944391841766911,-0.469859599746468,0.651573348200956,0.7925314491170071,-6.7622880926901106,False,True,0.1009834951581826,False,False,False
33,ACHE.15553.22,43,ACHE,0.005407207987771829,4.88602279316649,0.0291638698880688,0.977481246720338,0.9909579377565509,-7.017521070475709,False,True,0.003944779205855187,False,False,False
34,ACLY.12700.9,47,ACLY,0.31921579254911703,5.913045100375809,1.45344705384699,0.18590748759649303,0.38405646910847,-5.860844269995639,False,True,0.41560491516585746,False,False,False
35,ACOT13.17675.17,55856,ACOT13,-0.199091018278068,6.94681122868243,-0.554025210125663,0.5953997770264989,0.753415259663001,-6.585814492106629,False,True,0.12296558784880755,False,False,False
36,ACOT8.17400.71,10005,ACOT8,0.15204975938240697,6.7464130987605,0.713739681269529,0.49660901564983,0.672143234871469,-6.48645326200334,False,True,0.17253816818767828,False,False,False
37,ACP5.3232.28,54,ACP5,1.1514660627473898,8.1030424168801,3.1672318239513797,0.0140608408580206,0.10250858098593801,-3.07616790111981,False,True,0.9892397783266856,False,False,False
38,ACPL2.6079.59,92370,ACPL2,-1.1912946623249099,8.00928565647883,-2.67455245427739,0.0293449095057013,0.14310584884334804,-3.81681712062534,False,False,0.8443426159363624,False,False,False
39,ACPP.19317.114,55,ACPP,-0.33044488136634803,4.98323747070088,-2.01467831187031,0.0803796610057796,0.23715779604589302,-5.183999634813549,False,True,0.6249625942924752,False,True,False
40,ACRV1.15301.24,56,ACRV1,0.4331375179628111,4.34038279437421,1.8319836764673898,0.10607157077697901,0.281070153673164,-5.508479402701809,False,True,0.5511852688829051,False,False,False
41,ACSF2.17466.72,80221,ACSF2,-0.256380837596913,5.33556393983695,-1.42398055286522,0.19398562409449105,0.3945100894505929,-5.95885790301677,False,True,0.40394188539071785,False,False,False
42,ACTN1.9843.5,87,ACTN1,0.353640367008057,5.971339484808801,0.9409773182739409,0.375510896288677,0.574124196859816,-6.42254579867087,False,True,0.24099414910651581,False,False,False
43,ACTN2.9844.138,88,ACTN2,-0.39891969092571206,6.14046249525957,-0.710053453066924,0.49876602010750004,0.6735130245698411,-6.60748016092046,False,True,0.17165400136027195,False,False,False
44,ACVR1B.2806.49,91,ACVR1B,-0.140666869775424,3.56028331637881,-1.00263816432275,0.34672867343292696,0.548656737449682,-6.6005253758152405,False,True,0.2606992833388527,False,False,False
45,ACVR2A.19208.8,92,ACVR2A,0.0862929349500456,5.737032129199769,0.37203023997525997,0.7199765063903492,0.842209654256272,-6.84999815930791,False,True,0.07457978456596183,False,False,False
46,ACVR2B.9412.52,93,ACVR2B,0.253077873370282,5.00950701302008,1.10675374589502,0.302026329426811,0.503484203429887,-6.369171778330309,False,True,0.2980141506731283,False,False,False
47,ACVRL1.16318.12,94,ACVRL1,-0.137324315984308,3.98702805127881,-0.878985765299342,0.40620391883812895,0.601168926299569,-6.67975445588377,False,True,0.22100347566563047,False,False,False
48,ACY1.3343.1,95,ACY1,1.3178258436876102,7.767632963348549,1.91859930887153,0.0930333655069533,0.259830871261556,-4.99285346077198,False,True,0.585309250406808,False,False,False
49,ACYP2.12812.25,98,ACYP2,0.00969215085320485,8.17859964222596,0.028554109620216,0.9779519241909009,0.9910081298971529,-6.5804864134546195,False,True,0.003922782694352024,False,False,False
50,ADAM10.8405.108,102,ADAM10,0.13903023351542498,6.31240059313216,0.788647990605301,0.45409071337688595,0.639743810772241,-6.509400989065111,True,True,0.1939939070202459,False,False,False
51,ADAM10.8654.13,102,ADAM10,-0.0498573906922539,5.67234055898764,-0.266204862843784,0.7971239546036941,0.8881089949744271,-6.891104047637651,True,True,0.051533731280935045,False,False,False
52,ADAM11.6586.19,4185,ADAM11,-0.32813605868176693,7.322433195012599,-1.2103895207256201,0.26224124058132803,0.46552518980600893,-5.92119614153436,False,True,0.3320568141503816,False,False,False
53,ADAM12.4420.7,8038,ADAM12,0.28827828664806,5.566043744894789,1.19636495594784,0.267358256256582,0.470594588272332,-6.21589967850521,True,True,0.32735307141621844,False,False,False
54,ADAM15.9956.7,8751,ADAM15,0.27951074035275997,6.19187228073124,1.2362502993650502,0.253019541110843,0.45561101721167696,-6.0914293037499,False,True,0.34140578271324723,False,False,False
55,ADAM17.8882.1,6868,ADAM17,0.4957154896886011,3.68991159343014,1.3650661105816,0.21107008269893102,0.41198498929123706,-6.19197197579712,False,True,0.3851186072356643,False,False,False
